date,team,opponent,location,result,overtimes,points,opp_points,field_goals_made,field_goals_attempted,three_point_field_goals_made,three_point_field_goals_attempted,free_throws_made,free_throws_attempted,offensive_rebounds,defensive_rebounds,rebounds,assists,turnovers,steals,blocks,fouls,disqualifications,technical_fouls,opp_field_goals_made,opp_field_goals_attempted,opp_three_point_field_goals_made,opp_three_point_field_goals_attempted,opp_free_throws_made,opp_free_throws_attempted,opp_offensive_rebounds,opp_defensive_rebounds,opp_rebounds,opp_assists,opp_turnovers,opp_steals,opp_blocks,opp_fouls,opp_disqualifications,opp_technical_fouls
02/24/2024,Alabama St.,Florida A&M,away,L,0,65,73,23,73,3,20,16,25,22,21,43,9,7,10,1,25,2,2,21,46,5,14,26,31,7,33,40,14,19,3,6,20,0,2
02/26/2024,Alabama St.,Bethune-Cookman,away,L,1,84,90,26,71,9,34,23,30,19,27,46,14,10,6,5,20,1,0,32,73,6,17,20,24,14,30,44,16,7,7,7,20,0,0
03/02/2024,Alabama St.,Alabama A&M,away,L,0,53,58,16,60,10,27,11,14,13,21,34,12,12,9,6,18,0,0,19,51,3,14,17,24,14,30,44,8,15,7,9,14,0,1
03/07/2024,Alabama St.,Southern U.,home,L,0,57,65,20,63,7,26,10,11,15,17,32,8,8,8,2,11,0,0,22,48,11,21,10,12,10,29,39,10,16,4,8,15,0,0
03/09/2024,Alabama St.,Grambling,home,W,2,87,84,30,75,11,33,16,21,19,24,43,18,15,11,3,21,1,0,27,61,7,22,23,28,11,29,40,12,19,8,4,18,1,0
03/13/2024,Alabama St.,Grambling,neutral,L,0,50,56,17,56,8,27,8,11,8,28,36,10,7,5,7,16,1,0,18,49,9,19,11,16,7,31,38,9,10,2,7,11,0,0
11/06/2023,Alcorn,Arkansas,away,L,0,59,93,20,51,3,9,16,26,7,19,26,7,16,7,3,27,0,0,28,54,12,30,25,37,14,30,44,20,15,10,4,22,2,0
11/08/2023,Alcorn,Xavier (LA),home,W,0,70,62,24,60,3,15,19,30,13,26,39,10,7,10,0,18,0,0,21,53,8,20,12,20,8,21,29,8,12,5,3,24,0,1
11/14/2023,Alcorn,Arkansas St.,away,L,0,86,100,28,56,3,7,27,34,12,22,34,10,9,9,1,16,0,0,34,65,19,43,13,17,12,20,32,28,10,4,5,23,0,0
11/16/2023,Alcorn,UAB,away,L,0,77,80,30,74,6,24,11,18,15,23,38,10,12,17,3,21,0,0,27,57,7,19,19,28,12,33,45,10,18,9,7,17,0,0
11/19/2023,Alcorn,Michigan St.,away,L,0,49,81,16,61,5,18,12,20,16,25,41,9,12,5,1,17,1,0,30,57,10,25,11,21,10,28,38,24,9,7,9,18,0,0
11/21/2023,Alcorn,TCU,away,L,0,74,93,27,63,6,19,14,23,13,24,37,14,18,7,1,24,1,0,27,57,7,27,32,39,8,29,37,20,15,11,5,21,0,0
11/22/2023,Alcorn,UT Arlington,away,L,0,69,82,25,63,9,21,10,13,6,18,24,14,4,4,0,18,2,0,29,61,13,38,11,15,15,30,45,24,11,1,4,17,1,0
11/24/2023,Alcorn,Clemson,away,L,0,69,90,26,52,5,14,12,21,2,26,28,8,9,4,3,16,0,0,34,70,11,29,11,18,13,29,42,26,7,5,2,15,1,0
12/10/2023,Alcorn,VCU,away,L,0,58,86,19,55,4,14,16,19,9,21,30,9,11,6,0,14,1,0,29,60,17,39,11,13,11,28,39,22,11,8,7,16,0,0
12/12/2023,Alcorn,Maryland,away,L,0,65,105,26,59,5,9,8,16,14,18,32,9,20,6,2,24,0,1,30,57,14,30,31,40,11,22,33,20,8,9,5,14,0,0
12/17/2023,Alcorn,UNI,away,L,0,82,100,30,56,7,13,15,22,8,19,27,13,10,8,2,15,0,0,34,60,14,29,18,21,9,22,31,21,10,5,3,17,0,0
12/19/2023,Alcorn,Drake,away,L,0,55,92,19,61,4,15,13,22,6,27,33,5,13,6,3,21,0,0,30,65,12,35,20,24,11,43,54,21,12,6,7,22,0,0
12/21/2023,Alcorn,George Washington,away,L,0,75,79,32,72,4,15,7,8,20,24,44,10,15,7,3,19,1,0,24,50,15,34,16,23,7,21,28,16,16,6,5,11,1,0
01/06/2024,Alcorn,Jackson St.,away,L,0,80,88,30,72,2,17,18,23,18,19,37,9,6,7,0,15,1,2,32,64,8,27,16,20,15,22,37,17,10,2,5,15,1,1
01/11/2024,Alcorn,Alabama A&M,away,W,0,74,71,27,62,6,13,14,21,20,18,38,14,13,11,1,14,0,0,25,54,9,24,12,16,11,18,29,9,15,4,6,19,1,0
01/13/2024,Alcorn,Alabama St.,away,L,0,53,55,22,58,4,19,5,9,15,29,44,10,16,3,2,14,0,0,21,61,6,27,7,12,15,23,38,9,11,13,5,11,0,0
01/20/2024,Alcorn,Texas Southern,home,L,0,61,72,22,52,4,11,13,19,10,20,30,9,14,7,2,17,0,0,24,59,10,29,14,17,14,16,30,12,16,5,3,16,0,0
01/22/2024,Alcorn,Prairie View,home,W,0,90,78,31,48,6,12,22,30,7,23,30,14,11,4,1,20,0,1,29,58,6,19,14,23,9,10,19,11,9,8,1,24,1,1
01/27/2024,Alcorn,Florida A&M,away,W,0,76,67,30,55,6,14,10,14,10,22,32,13,12,9,1,13,0,0,22,53,12,25,11,15,11,18,29,17,15,4,0,15,0,0
01/29/2024,Alcorn,Bethune-Cookman,away,W,0,70,67,24,51,3,13,19,22,10,28,38,14,14,6,2,12,0,0,23,58,8,24,13,15,8,18,26,20,9,8,5,15,0,0
02/03/2024,Alcorn,Southern U.,home,L,0,70,71,18,50,9,20,25,31,10,23,33,9,11,9,0,20,0,0,22,48,12,23,15,25,5,21,26,10,10,8,3,22,1,0
02/05/2024,Alcorn,Grambling,home,L,0,67,78,24,49,3,13,16,19,4,17,21,8,8,2,1,15,0,0,28,55,9,16,13,16,10,17,27,10,7,6,3,18,0,0
02/10/2024,Alcorn,Ark.-Pine Bluff,away,W,0,68,56,25,60,5,18,13,24,12,27,39,17,9,14,3,18,0,0,19,50,6,27,12,20,8,27,35,14,19,5,6,16,1,0
02/12/2024,Alcorn,Mississippi Val.,away,W,0,72,55,26,54,6,11,14,23,11,21,32,13,8,12,4,13,0,0,21,47,8,22,5,8,7,21,28,12,19,5,3,17,0,0
02/17/2024,Alcorn,Bethune-Cookman,home,W,0,69,54,25,47,6,15,13,17,11,29,40,15,17,2,1,18,0,1,18,48,5,14,13,20,4,10,14,8,10,11,0,17,0,1
02/19/2024,Alcorn,Florida A&M,home,W,0,79,68,26,64,5,17,22,30,15,20,35,12,5,8,4,16,1,0,22,54,3,16,21,21,11,21,32,7,15,2,3,21,1,0
02/24/2024,Alcorn,Jackson St.,home,W,1,87,73,30,59,7,17,20,23,8,22,30,19,9,7,5,16,0,0,28,57,8,21,9,15,4,19,23,12,15,6,4,18,1,0
03/02/2024,Alcorn,Prairie View,away,W,0,73,65,26,53,7,20,14,23,9,20,29,14,15,6,3,19,0,0,23,54,4,13,15,22,9,17,26,15,11,7,6,15,0,0
03/04/2024,Alcorn,Texas Southern,away,W,0,82,79,28,63,2,13,24,28,17,23,40,10,11,4,0,16,0,1,30,62,12,32,7,12,9,19,28,17,7,7,6,20,0,1
03/07/2024,Alcorn,Mississippi Val.,home,W,0,74,67,29,54,10,21,6,8,9,18,27,20,10,2,0,16,0,2,25,48,8,18,9,16,3,12,15,13,7,6,0,8,0,1
03/09/2024,Alcorn,Ark.-Pine Bluff,home,W,0,104,95,33,63,6,18,32,38,13,31,44,12,11,3,3,24,2,0,29,66,11,31,26,31,10,18,28,12,6,5,1,26,3,2
03/13/2024,Alcorn,Alabama A&M,neutral,L,0,63,75,20,54,5,17,18,25,10,24,34,11,14,8,1,21,0,0,23,56,7,22,22,26,12,29,41,15,13,5,3,22,0,0
11/06/2023,American,Villanova,away,L,0,63,90,21,62,9,30,12,16,12,19,31,15,11,6,2,17,0,0,32,59,10,27,16,19,10,31,41,19,7,5,2,19,1,0
11/09/2023,American,William & Mary,away,L,0,56,75,22,60,5,27,7,10,10,22,32,10,12,7,1,26,0,0,22,45,7,20,24,32,6,28,34,11,14,5,0,16,1,0
11/13/2023,American,Siena,home,W,0,78,58,30,57,9,23,9,13,10,20,30,18,11,12,2,19,0,0,22,47,6,18,8,18,10,18,28,10,19,3,4,14,0,0
